supplier,category,collection,code,item_name,finish,price,currency,page,confidence,review_notes
Yale,Smart Surveillance Camera,Smart Indoor Camera,SMART-INDOOR-CAMERA,Smart Indoor Camera,Standard,5999,INR,11,LOW,No alphanumeric product code printed; code derived from product name.
Yale,Smart Surveillance Camera,Smart Outdoor Camera,SMART-OUTDOOR-CAMERA,Smart Outdoor Camera,Standard,11999,INR,11,LOW,No alphanumeric product code printed; code derived from product name.
Yale,Video Door Phone,JB-305 Essential VDP,JB-305 M,Essential Complete Kit with Memory,Standard,14999,INR,11,HIGH,
Yale,Video Door Phone,JB-305 Essential VDP,JB-305 E,Essential Complete Kit,Standard,13999,INR,11,HIGH,
Yale,Video Door Phone,JB-305 Essential VDP,JB-305 E Indoor,"Indoor Unit, Grey (for JB-305 E)",Grey,7699,INR,11,HIGH,
Yale,Video Door Phone,JB-305 Essential VDP,JB-305 M Indoor,Indoor Unit for JB-305 M Essential VDP,Grey,8799,INR,11,HIGH,
Yale,Video Door Phone,JB-305 Essential VDP,JB-305-E Outdoor,"Outdoor Unit, Grey (for JB-305 E)",Grey,6499,INR,11,HIGH,
Yale,Video Door Phone,JB-305 Essential VDP,SOLAR-PANEL-CHARGER,Solar Panel Charger,Standard,2999,INR,11,LOW,No alphanumeric product code printed; code derived from product name.
Yale,Video Door Phone,JB-305 Essential VDP,AC-POWER-ADAPTER,AC Power Adapter,Standard,1999,INR,11,LOW,No alphanumeric product code printed; code derived from product name.
Yale,Smart Safe,Smart Safe,YSS/250/EB1,"Smart Safe 250x350x300mm, 20.5 Ltr",Black,36499,INR,12,HIGH,
Yale,Smart Safe,Smart Security Box,YSSB-BL,Smart Security Box 270x60x380mm,Black,22699,INR,12,HIGH,
Yale,Digital Safes,Alarmed Digital Safe,YEC/200/DB3,Alarmed Digital Safe - Small Safe,Black,7499,INR,12,HIGH,
Yale,Digital Safes,Alarmed Digital Safe,YEC/250/DB3,Alarmed Digital Safe - Medium Safe,Black,8999,INR,12,HIGH,
Yale,Digital Safes,Alarmed Digital Safe,YEC/390/DB3,Alarmed Digital Safe - Large Safe,Black,15499,INR,12,HIGH,
Yale,Digital Safes,Alarmed Digital Safe,YLC/200/DB3,Alarmed Digital Safe - Laptop Safe,Black,11999,INR,12,HIGH,
Yale,Digital Safes,Fire Rated Biometric Safes,YFF/420/FG2,Fire Rated Biometric Safe - Firesafe (125TFL),Grey,78599,INR,13,HIGH,
Yale,Digital Safes,Fire Rated Biometric Safes,YFF/520/FG2,Fire Rated Biometric Safe - Firesafe (530TFL),Grey,84699,INR,13,HIGH,
Yale,Digital Safes,Fire Rated Digital Safes,YFM/420/FG2,Fire Rated Digital Safe - 60 Minutes,Grey,49599,INR,13,HIGH,
Yale,Digital Safes,Fire Rated Digital Safes,YFM/520/FG2,Fire Rated Digital Safe - 60 Minutes,Grey,56699,INR,13,HIGH,
Yale,Digital Safes,Fire Rated Digital Safes,YFM/695/FG2,Fire Rated Digital Safe - 90 Minutes,Grey,98999,INR,13,HIGH,
Yale,Digital Safes,High Security Biometric Safes,YSFB/200/EB1,High Security Biometric Safe - Compact Safe,Black,23199,INR,13,HIGH,
Yale,Digital Safes,High Security Biometric Safes,YSFB/250/EB1,High Security Biometric Safe - Home Safe,Black,31599,INR,13,HIGH,
Yale,Digital Safes,High Security Biometric Safes,YSFB/400/EB1,High Security Biometric Safe - Office Safe,Black,40799,INR,13,HIGH,
Yale,Digital Safes,High Security Biometric Safes,YLFB/200/EB1,High Security Biometric Safe - Laptop Safe,Black,31599,INR,13,HIGH,
Yale,Digital Safes,High Security Digital Safes,YSEB/200/EB1,High Security Digital Safe - Compact Safe,Black,21499,INR,13,HIGH,
Yale,Digital Safes,High Security Digital Safes,YSEB/250/EB1,High Security Digital Safe - Home Safe,Black,28299,INR,13,HIGH,
Yale,Digital Safes,High Security Digital Safes,YSEB/400/EB1,High Security Digital Safe - Office Safe,Black,32799,INR,13,HIGH,
Yale,Digital Safes,High Security Digital Safes,YSEB/520/EB1,High Security Digital Safe - Professional Safe,Black,41799,INR,13,HIGH,
Yale,Digital Safes,High Security Digital Safes,YLEB/200/EB1,High Security Digital Safe - Laptop Safe,Black,28299,INR,13,HIGH,
Yale,Digital Safes,Maximum Security Biometric Safe,YSFM/250/EG1,Maximum Security Biometric Safe - Home Safe,Black,34999,INR,13,HIGH,
Yale,Digital Safes,Maximum Security Biometric Safe,YSFM/400/EG1,Maximum Security Biometric Safe - Office Safe,Black,47399,INR,13,HIGH,
Yale,Digital Safes,Maximum Security Biometric Safe,YSFM/520/EG1,Maximum Security Biometric Safe - Professional Safe,Black,55099,INR,13,HIGH,
Yale,Digital Safes,Maximum Security Biometric Safe,YLFM/200/EG1,Maximum Security Biometric Safe - Laptop Safe,Black,36099,INR,13,HIGH,
Yale,Digital Safes,Maximum Security Digital Safe,YSEM/250/EG1,Maximum Security Digital Safe - Home Safe,Black,31599,INR,13,HIGH,
Yale,Digital Safes,Maximum Security Digital Safe,YSEM/400/EG1,Maximum Security Digital Safe - Office Safe,Black,43899,INR,13,HIGH,
Yale,Digital Safes,Maximum Security Digital Safe,YSEM/520/EG1,Maximum Security Digital Safe - Professional Safe,Black,50999,INR,13,HIGH,
Yale,Digital Safes,Maximum Security Digital Safe,YLEM/200/EG1,Maximum Security Digital Safe - Laptop Safe,Black,32799,INR,13,HIGH,
Yale,Digital Safes,Heavy Duty Safe - Classic Biometric Series,YSELC/330/B1,Heavy Duty Safe - Classic Biometric Series,Black,51499,INR,14,HIGH,
Yale,Digital Safes,Heavy Duty Safe - Classic Biometric Series,YSELC/450/B1-W1,Heavy Duty Safe - Classic Biometric Series,Black/White,74199,INR,14,HIGH,
Yale,Digital Safes,Heavy Duty Safe - Classic Biometric Series,YSELC/580/B1-W1,Heavy Duty Safe - Classic Biometric Series,Black/White,92699,INR,14,HIGH,
Yale,Digital Safes,Heavy Duty Safe - Classic Biometric Series,YSELC/680/B1-W1,Heavy Duty Safe - Classic Biometric Series,Black/White,125699,INR,14,HIGH,
Yale,Digital Safes,Heavy Duty Safe - Classic Biometric Series,YSELC/900/B1-W1,Heavy Duty Safe - Classic Biometric Series,Black/White,154499,INR,14,HIGH,
Yale,Digital Safes,Heavy Duty Safe - Classic Biometric Series,YSELC/1100/B1-W1,Heavy Duty Safe - Classic Biometric Series,Black/White,205999,INR,14,HIGH,
Yale,Digital Safes,Heavy Duty Safe - Classic Biometric Series,YSELC/1500/B1-W1,Heavy Duty Safe - Classic Biometric Series,Black/White,262699,INR,14,HIGH,
Yale,Smart Safe,Smart Safe,YSS/580/W1,Smart Safe - Large Safe,White,60999,INR,14,HIGH,
Yale,Digital Safes,Stellar Biometric Safes,Stellar 250/DB2,Stellar Biometric Safe,Black,15999,INR,14,HIGH,
Yale,Digital Safes,Stellar Biometric Safes,Stellar 300/DB2,Stellar Biometric Safe,Black,18899,INR,14,HIGH,
Yale,Digital Safes,Stellar Biometric Safes,Stellar 390/DB2,Stellar Biometric Safe,Black,21199,INR,14,HIGH,
Yale,Digital Safes,Stellar Biometric Safes,Stellar 500/DB2,Stellar Biometric Safe,Black,28399,INR,14,HIGH,
Yale,Digital Safes,Stellar Biometric Safes,Stellar 250/GR,Stellar Biometric Safe,Grey,16799,INR,14,HIGH,
Yale,Digital Safes,Stellar Biometric Safes,Stellar 300/GR,Stellar Biometric Safe,Grey,19899,INR,14,HIGH,
Yale,Digital Safes,Stellar Biometric Safes,Stellar 390/GR,Stellar Biometric Safe,Grey,22299,INR,14,HIGH,
Yale,Digital Safes,Stellar Biometric Safes,Stellar 500/GR,Stellar Biometric Safe,Grey,29899,INR,14,HIGH,
Yale,Digital Safes,Cosmos Safe,YSPC/200,Cosmos Safe,Grey,10799,INR,14,HIGH,
Yale,Digital Safes,Cosmos Safe,YSPC/250,Cosmos Safe,Grey,12499,INR,14,HIGH,
Yale,Digital Safes,Cosmos Safe,YSPC/390,Cosmos Safe,Grey,17399,INR,14,HIGH,
Yale,Digital Safes,Cosmos Safe,YLPC/200,Cosmos Safe - Laptop Safe,Grey,14599,INR,14,HIGH,
Yale,Digital Safes,Guest Safe,YSG/250/DB1,Guest Safe,Black,13099,INR,14,HIGH,
Yale,Digital Safes,Guest Safe,YLG/200/DB1,Guest Safe - Laptop Safe,Black,15299,INR,14,HIGH,
Yale,Door Control Devices,Surface Mounted Door Closer,DCR 502-IS,"Surface Mounted Door Closer, Size 2, Door Width 750-850mm, Weight 45Kgs, Standard Arm",Silver,1940,INR,16,HIGH,
Yale,Door Control Devices,Surface Mounted Door Closer,DCR 503-90,"Surface Mounted Door Closer, Size 3, Door Width 850-950mm, Weight 60Kgs, Standard Arm",Silver,2180,INR,16,HIGH,
Yale,Door Control Devices,Surface Mounted Door Closer,DCR 504-90,"Surface Mounted Door Closer, Size 4, Door Width 950-1100mm, Weight 80Kgs, Standard Arm",Silver,2390,INR,16,HIGH,
Yale,Door Control Devices,Surface Mounted Door Closer,YDC-2022 HO,"Surface Mounted Door Closer, Size 2/3/4, Door Width 750-1100mm, Weight 80Kgs, Hold Open Arm",Silver,5360,INR,16,HIGH,
Yale,Door Control Devices,Surface Mounted Door Closer,DCR 3003 SH-90,"Yale Surface Mounted Door Closer with Slide Arm, Size 3, Door Width 850-950mm, Weight 65Kgs, Hold Open Arm",Silver,5660,INR,16,HIGH,
Yale,Door Control Devices,Yale 300,30-0300-0001-00-60-11,"Yale 300 - 300 Series Rack and Pinion Closer, Standard Arm, Size 2/3/4, Door Width 750-1100mm, Weight 80Kgs",Silver,3200,INR,16,HIGH,
Yale,Door Control Devices,Yale 300,30-0300-0004-00-60-11,"Yale 300 - 300 Series Rack and Pinion Closer, Hold Open Arm, Size 2/3/4, Door Width 750-1100mm, Weight 80Kgs",Silver,4180,INR,16,HIGH,
Yale,Door Control Devices,Yale 300,30-0300-0001-00-55-11,"Yale 300 - 300 Series Rack and Pinion Closer, Standard Arm, Size 2/3/4, Door Width 750-1100mm, Weight 80Kgs",Black,3200,INR,16,HIGH,
Yale,Door Control Devices,Yale 300,30-0300-0004-00-55-11,"Yale 300 - 300 Series Rack and Pinion Closer, Hold Open Arm, Size 2/3/4, Door Width 750-1100mm, Weight 80Kgs",Black,4180,INR,16,HIGH,
Yale,Door Control Devices,Concealed Door Closer,DCR-6003 H,"Concealed Mounted Door Closer, Rack and Pinion Size 3, Door Width 850-950mm, Weight 65Kgs, Hold Open Device",Silver,5660,INR,16,HIGH,
Yale,Door Control Devices,Yale 8324U,30-8324-0004-60-11,"Yale 8324U - CAM action concealed door closer size 2-4 with HO device, Door Width 750-1100mm, Weight upto 100Kgs",Silver,22060,INR,16,HIGH,
Yale,Door Control Devices,Yale 8324U,30-8324-0004-55-11,"Yale 8324U - CAM action concealed door closer size 2-4 with HO device, Door Width 750-1100mm, Weight upto 100Kgs",Black,22060,INR,16,HIGH,
Yale,Lever Handle,YPBL Series,YPBL-804-SS,YPBL-804 - Solid Brass Lever Handle with Rose/Escutcheon,Satin Steel,7840,INR,17,HIGH,
Yale,Lever Handle,YPBL Series,YPBL-804-AB,YPBL-804 - Solid Brass Lever Handle with Rose/Escutcheon,Antique Brass,8000,INR,17,HIGH,
Yale,Lever Handle,YPBL Series,YPBL-808-SS,YPBL-808 - Solid Brass Lever Handle with Rose/Escutcheon,Satin Steel,7100,INR,17,HIGH,
Yale,Lever Handle,YPBL Series,YPBL-808-AB,YPBL-808 - Solid Brass Lever Handle with Rose/Escutcheon,Antique Brass,7220,INR,17,HIGH,
Yale,Lever Handle,YPBL Series,YPBL-801-SS,YPBL-801 - Solid Brass Lever Handle with Rose/Escutcheon,Satin Steel,7560,INR,17,HIGH,
Yale,Lever Handle,YPBL Series,YPBL-801-AB,YPBL-801 - Solid Brass Lever Handle with Rose/Escutcheon,Antique Brass,7740,INR,17,HIGH,
Yale,Lever Handle,YPBL Series,YPBL-809-SS,YPBL-809 - Solid Brass Lever Handle with Rose/Escutcheon,Satin Steel,6900,INR,17,HIGH,
Yale,Lever Handle,YPBL Series,YPBL-809-AB,YPBL-809 - Solid Brass Lever Handle with Rose/Escutcheon,Antique Brass,7060,INR,17,HIGH,
Yale,Lever Handle,YPBL Series,YPBL-802-SS,YPBL-802 - Solid Brass Lever Handle with Rose/Escutcheon,Satin Steel,7160,INR,17,HIGH,
Yale,Lever Handle,YPBL Series,YPBL-802-AB,YPBL-802 - Solid Brass Lever Handle with Rose/Escutcheon,Antique Brass,7320,INR,17,HIGH,
Yale,Lever Handle,YPBL Series,YPBL-810-SS,YPBL-810 - Solid Brass Lever Handle with Rose/Escutcheon,Satin Steel,7320,INR,17,HIGH,
Yale,Lever Handle,YPBL Series,YPBL-810-AB,YPBL-810 - Solid Brass Lever Handle with Rose/Escutcheon,Antique Brass,7480,INR,17,HIGH,
Yale,Lever Handle,YPVL Series,YPVL-901-BM,YPVL-901 - Premium PVD Brass Lever Handle with Rose/Escutcheon,Black Matt,8620,INR,18,HIGH,
Yale,Lever Handle,YPVL Series,YPVL-901-RG,YPVL-901 - Premium PVD Brass Lever Handle with Rose/Escutcheon,Rose Gold,8680,INR,18,HIGH,
Yale,Lever Handle,YPVL Series,YPVL-910-BM,YPVL-910 - Premium PVD Brass Lever Handle with Rose/Escutcheon,Black Matt,8840,INR,18,HIGH,
Yale,Lever Handle,YPVL Series,YPVL-910-RG,YPVL-910 - Premium PVD Brass Lever Handle with Rose/Escutcheon,Rose Gold,8940,INR,18,HIGH,
Yale,Lever Handle,YPVL Series,YPVL-902-BM,YPVL-902 - Premium PVD Brass Lever Handle with Rose/Escutcheon,Black Matt,8020,INR,18,HIGH,
Yale,Lever Handle,YPVL Series,YPVL-902-RG,YPVL-902 - Premium PVD Brass Lever Handle with Rose/Escutcheon,Rose Gold,8100,INR,18,HIGH,
Yale,Lever Handle,YPVL Series,YPVL-904-BM,YPVL-904 - Premium PVD Brass Lever Handle with Rose/Escutcheon,Black Matt,8840,INR,18,HIGH,
Yale,Lever Handle,YPVL Series,YPVL-904-RG,YPVL-904 - Premium PVD Brass Lever Handle with Rose/Escutcheon,Rose Gold,8900,INR,18,HIGH,
Yale,Lever Handle,YPVL Series,YPVL-909-BM,YPVL-909 - Premium PVD Brass Lever Handle with Rose/Escutcheon,Black Matt,8280,INR,18,HIGH,
Yale,Lever Handle,YPVL Series,YPVL-909-RG,YPVL-909 - Premium PVD Brass Lever Handle with Rose/Escutcheon,Rose Gold,8280,INR,18,HIGH,
Yale,Lever Handle,YTL Series,YTL-010,YTL-010 - Lever Handle with Escutcheon (SSS),Satin Steel,2800,INR,18,HIGH,
Yale,Lever Handle,YTL Series,YTL-050,YTL-050 - Lever Handle with Escutcheon (SSS),Satin Steel,3860,INR,18,HIGH,
Yale,Lever Handle,YTL Series,YTL-060,YTL-060 - Lever Handle with Escutcheon (SSS),Satin Steel,2800,INR,18,HIGH,
Yale,Lever Handle,YMSL Series,YMSL-1001-SS,YMSL-1001 - Marvel Series Premium Handle with Rose/Escutcheons,Satin Steel,5360,INR,19,HIGH,
Yale,Lever Handle,YMSL Series,YMSL-1001-AB,YMSL-1001 - Marvel Series Premium Handle with Rose/Escutcheons,Antique Brass,5840,INR,19,HIGH,
Yale,Lever Handle,YMSL Series,YMSL-1001-BM,YMSL-1001 - Marvel Series Premium Handle with Rose/Escutcheons,Black Matt,6960,INR,19,HIGH,
Yale,Lever Handle,YMSL Series,YMSL-1001-RG,YMSL-1001 - Marvel Series Premium Handle with Rose/Escutcheons,Rose Gold,6960,INR,19,HIGH,
Yale,Lever Handle,YMSL Series,YMSL-1005-SS,YMSL-1005 - Marvel Series Premium Handle with Rose/Escutcheons,Satin Steel,5840,INR,19,HIGH,
Yale,Lever Handle,YMSL Series,YMSL-1005-AB,YMSL-1005 - Marvel Series Premium Handle with Rose/Escutcheons,Antique Brass,5980,INR,19,HIGH,
Yale,Lever Handle,YMSL Series,YMSL-1005-BM,YMSL-1005 - Marvel Series Premium Handle with Rose/Escutcheons,Black Matt,7420,INR,19,HIGH,
Yale,Lever Handle,YMSL Series,YMSL-1005-RG,YMSL-1005 - Marvel Series Premium Handle with Rose/Escutcheons,Rose Gold,7580,INR,19,HIGH,
Yale,Lever Handle,YMSL Series,YMSL-1002-SS,YMSL-1002 - Marvel Series Premium Handle with Rose/Escutcheons,Satin Steel,5840,INR,19,HIGH,
Yale,Lever Handle,YMSL Series,YMSL-1002-AB,YMSL-1002 - Marvel Series Premium Handle with Rose/Escutcheons,Antique Brass,5680,INR,19,HIGH,
Yale,Lever Handle,YMSL Series,YMSL-1002-BM,YMSL-1002 - Marvel Series Premium Handle with Rose/Escutcheons,Black Matt,6960,INR,19,HIGH,
Yale,Lever Handle,YMSL Series,YMSL-1002-RG,YMSL-1002 - Marvel Series Premium Handle with Rose/Escutcheons,Rose Gold,6960,INR,19,HIGH,
Yale,Lever Handle,YMSL Series,YMSL-1004-SS,YMSL-1004 - Marvel Series Premium Handle with Rose/Escutcheons,Satin Steel,5680,INR,19,HIGH,
Yale,Lever Handle,YMSL Series,YMSL-1004-AB,YMSL-1004 - Marvel Series Premium Handle with Rose/Escutcheons,Antique Brass,5840,INR,19,HIGH,
Yale,Lever Handle,YMSL Series,YMSL-1004-BM,YMSL-1004 - Marvel Series Premium Handle with Rose/Escutcheons,Black Matt,7420,INR,19,HIGH,
